Level,Category_Name,Forecast_Month,Forecast_Demand,Model
Category,Sports,2017-10-01,0.0,Holt-Winters
Category,Sports,2017-11-01,0.0,Holt-Winters
Category,Sports,2017-12-01,0.0,Holt-Winters
Category,Sports,2018-01-01,0.0,Holt-Winters
Category,Toys,2017-01-01,638.0,Holt-Winters
Category,Toys,2017-02-01,894.0,Holt-Winters
Category,Toys,2017-03-01,983.0,Holt-Winters
Category,Toys,2017-04-01,1069.0,Holt-Winters
Category,Toys,2017-05-01,794.0,Holt-Winters
Category,Toys,2017-06-01,912.0,Holt-Winters
Category,Toys,2017-07-01,812.0,Holt-Winters
Category,Toys,2017-08-01,712.0,Holt-Winters
Category,Toys,2017-09-01,921.0,Holt-Winters
Category,Toys,2017-10-01,732.0,Holt-Winters
Category,Toys,2017-11-01,946.0,Holt-Winters
Category,Toys,2017-12-01,701.0,Holt-Winters
Category,Travel_Accessories,2017-01-01,26757.0,Holt-Winters
Category,Travel_Accessories,2017-02-01,58885.0,Holt-Winters
Category,Travel_Accessories,2017-03-01,63817.0,Holt-Winters
Category,Travel_Accessories,2017-04-01,47469.0,Holt-Winters
Category,Travel_Accessories,2017-05-01,83751.0,Holt-Winters
Category,Travel_Accessories,2017-06-01,77520.0,Holt-Winters
Category,Travel_Accessories,2017-07-01,50208.0,Holt-Winters
Category,Travel_Accessories,2017-08-01,73914.0,Holt-Winters
Category,Travel_Accessories,2017-09-01,52551.0,Holt-Winters
Category,Travel_Accessories,2017-10-01,36468.0,Holt-Winters
Category,Travel_Accessories,2017-11-01,52292.0,Holt-Winters
Category,Travel_Accessories,2017-12-01,83643.0,Holt-Winters
