Level,Category_Name,Forecast_Month,Forecast_Demand,Model_Used
Category,Food,2017-11-01,29.0,Naive
Category,Food,2017-12-01,29.0,Naive
Category,Food,2018-01-01,29.0,Naive
Category,Footwear,2017-01-01,91.0,SARIMA
Category,Footwear,2017-02-01,230.0,SARIMA
Category,Footwear,2017-03-01,237.0,SARIMA
Category,Footwear,2017-04-01,262.0,SARIMA
Category,Footwear,2017-05-01,582.0,SARIMA
Category,Footwear,2017-06-01,550.0,SARIMA
Category,Footwear,2017-07-01,151.0,SARIMA
Category,Footwear,2017-08-01,250.0,SARIMA
Category,Footwear,2017-09-01,215.0,SARIMA
Category,Footwear,2017-10-01,204.0,SARIMA
Category,Footwear,2017-11-01,675.0,SARIMA
Category,Footwear,2017-12-01,114.0,SARIMA
Category,Furniture,2017-02-01,2472.0,Naive
Category,Furniture,2017-03-01,2472.0,Naive
Category,Furniture,2017-04-01,2472.0,Naive
Category,Furniture,2017-05-01,2472.0,Naive
Category,Furniture,2017-06-01,2472.0,Naive
Category,Furniture,2017-07-01,2472.0,Naive
Category,Furniture,2017-08-01,2472.0,Naive
Category,Furniture,2017-09-01,2472.0,Naive
Category,Furniture,2017-10-01,2472.0,Naive
Category,Furniture,2017-11-01,2472.0,Naive
Category,Furniture,2017-12-01,2472.0,Naive
Category,Furniture,2018-01-01,2472.0,Naive
Category,Gardening,2017-01-01,676750.0,Naive
Category,Gardening,2017-02-01,676750.0,Naive
Category,Gardening,2017-03-01,676750.0,Naive
Category,Gardening,2017-04-01,676750.0,Naive
Category,Gardening,2017-05-01,676750.0,Naive
Category,Gardening,2017-06-01,676750.0,Naive
Category,Gardening,2017-07-01,676750.0,Naive
Category,Gardening,2017-08-01,676750.0,Naive
Category,Gardening,2017-09-01,676750.0,Naive
Category,Gardening,2017-10-01,676750.0,Naive
Category,Gardening,2017-11-01,676750.0,Naive
Category,Gardening,2017-12-01,676750.0,Naive
Category,General_Merchandise,2017-01-01,840000.0,Naive
Category,General_Merchandise,2017-02-01,840000.0,Naive
Category,General_Merchandise,2017-03-01,840000.0,Naive
Category,General_Merchandise,2017-04-01,840000.0,Naive
Category,General_Merchandise,2017-05-01,840000.0,Naive
Category,General_Merchandise,2017-06-01,840000.0,Naive
Category,General_Merchandise,2017-07-01,840000.0,Naive
Category,General_Merchandise,2017-08-01,840000.0,Naive
Category,General_Merchandise,2017-09-01,840000.0,Naive
Category,General_Merchandise,2017-10-01,840000.0,Naive
Category,General_Merchandise,2017-11-01,840000.0,Naive
Category,General_Merchandise,2017-12-01,840000.0,Naive
Category,Hardware,2017-01-01,4143.0,Naive
Category,Hardware,2017-02-01,4143.0,Naive
Category,Hardware,2017-03-01,4143.0,Naive
Category,Hardware,2017-04-01,4143.0,Naive
Category,Hardware,2017-05-01,4143.0,Naive
Category,Hardware,2017-06-01,4143.0,Naive
Category,Hardware,2017-07-01,4143.0,Naive
Category,Hardware,2017-08-01,4143.0,Naive
Category,Hardware,2017-09-01,4143.0,Naive
Category,Hardware,2017-10-01,4143.0,Naive
Category,Hardware,2017-11-01,4143.0,Naive
Category,Hardware,2017-12-01,4143.0,Naive
Category,Healthcare,2017-02-01,70.0,Naive
Category,Healthcare,2017-03-01,70.0,Naive
Category,Healthcare,2017-04-01,70.0,Naive
Category,Healthcare,2017-05-01,70.0,Naive
Category,Healthcare,2017-06-01,70.0,Naive
Category,Healthcare,2017-07-01,70.0,Naive
Category,Healthcare,2017-08-01,70.0,Naive
Category,Healthcare,2017-09-01,70.0,Naive
Category,Healthcare,2017-10-01,70.0,Naive
Category,Healthcare,2017-11-01,70.0,Naive
Category,Healthcare,2017-12-01,70.0,Naive
Category,Healthcare,2018-01-01,70.0,Naive
Category,Home_Appliances,2017-02-01,3925101.0,SARIMA
Category,Home_Appliances,2017-03-01,4510330.0,SARIMA
Category,Home_Appliances,2017-04-01,4575592.0,SARIMA
Category,Home_Appliances,2017-05-01,5683317.0,SARIMA
Category,Home_Appliances,2017-06-01,6587953.0,SARIMA
Category,Home_Appliances,2017-07-01,4406931.0,SARIMA
Category,Home_Appliances,2017-08-01,4671317.0,SARIMA
Category,Home_Appliances,2017-09-01,5142645.0,SARIMA
Category,Home_Appliances,2017-10-01,4645915.0,SARIMA
Category,Home_Appliances,2017-11-01,6713885.0,SARIMA
Category,Home_Appliances,2017-12-01,5165136.0,SARIMA
Category,Home_Appliances,2018-01-01,0.0,SARIMA
Category,Kitchenware,2017-01-01,254.0,Naive
Category,Kitchenware,2017-02-01,254.0,Naive
Category,Kitchenware,2017-03-01,254.0,Naive
Category,Kitchenware,2017-04-01,254.0,Naive
Category,Kitchenware,2017-05-01,254.0,Naive
Category,Kitchenware,2017-06-01,254.0,Naive
Category,Kitchenware,2017-07-01,254.0,Naive
Category,Kitchenware,2017-08-01,254.0,Naive
Category,Kitchenware,2017-09-01,254.0,Naive
Category,Kitchenware,2017-10-01,254.0,Naive
Category,Kitchenware,2017-11-01,254.0,Naive
Category,Kitchenware,2017-12-01,254.0,Naive
Category,Lighting,2017-01-01,135.0,Holt-Winters
Category,Lighting,2017-02-01,158.0,Holt-Winters
Category,Lighting,2017-03-01,138.0,Holt-Winters
Category,Lighting,2017-04-01,133.0,Holt-Winters
Category,Lighting,2017-05-01,138.0,Holt-Winters
Category,Lighting,2017-06-01,150.0,Holt-Winters
Category,Lighting,2017-07-01,258.0,Holt-Winters
Category,Lighting,2017-08-01,112.0,Holt-Winters
