date,forecast_units_sold,lower_ci,upper_ci,is_festival,is_holiday
2019-03-20,2.2921508345496258,-9.117320456131386,13.701622125230637,0,0
2019-03-21,2.291633767231958,-9.118556277656765,13.701823812120683,0,0
2019-03-22,2.2911168165552227,-9.119791613059668,13.702025246170113,0,0
2019-03-23,2.290599982493108,-9.12102646258243,13.702226427568645,0,0
2019-03-24,2.290083265019308,-9.122260826467222,13.702427356505837,0,0
2019-03-25,2.289566664107522,-9.12349470495606,13.702628033171104,0,0
2019-03-26,2.289050179731456,-9.124728098290793,13.702828457753705,0,0
2019-03-27,2.2885338118648217,-9.125961006713109,13.703028630442752,0,0
2019-03-28,2.2880175604813364,-9.127193430464537,13.703228551427209,0,0
2019-03-29,2.287501425554724,-9.128425369786438,13.703428220895887,0,0
2019-03-30,2.286985407058714,-9.129656824920023,13.70362763903745,0,0
2019-03-31,2.2864695049670414,-9.130887796106329,13.70382680604041,0,0
2019-04-01,2.2859537192534476,-9.132118283586243,13.704025722093137,0,0
2019-04-02,2.28543804989168,-9.133348287600484,13.704224387383842,0,0
2019-04-03,2.284922496855492,-9.134577808389611,13.704422802100595,0,0
2019-04-04,2.2844070601186424,-9.13580684619403,13.704620966431314,0,0
2019-04-05,2.283891739654896,-9.137035401253977,13.704818880563769,0,0
2019-04-06,2.283376535438024,-9.138263473809534,13.70501654468558,0,0
2019-04-07,2.282861447441803,-9.13949106410062,13.705213958984226,0,0
2019-04-08,2.2823464756400162,-9.140718172366993,13.705411123647027,0,0
2019-04-09,2.281831620006452,-9.14194479884826,13.705608038861163,0,0
2019-04-10,2.2813168805149044,-9.143170943783856,13.705804704813664,0,0
2019-04-11,2.2808022571391744,-9.14439660741306,13.706001121691408,0,0
2019-04-12,2.2802877498530685,-9.145621789975001,13.706197289681137,0,0
2019-04-13,2.2797733586303988,-9.146846491708635,13.706393208969432,0,0
2019-04-14,2.2792590834449835,-9.148070712852768,13.706588879742736,0,0
2019-04-15,2.2787449242706472,-9.149294453646046,13.70678430218734,0,0
2019-04-16,2.2782308810812193,-9.150517714326957,13.706979476489396,0,0
2019-04-17,2.277716953850536,-9.151740495133824,13.707174402834896,0,0
2019-04-18,2.2772031425524393,-9.152962796304818,13.707369081409697,0,0
2019-04-19,2.2766894471607766,-9.15418461807795,13.707563512399505,0,0
2019-04-20,2.2761758676494015,-9.155405960691073,13.707757695989876,0,0
2019-04-21,2.2756624039921736,-9.156626824381881,13.707951632366228,0,0
2019-04-22,2.2751490561629586,-9.15784720938791,13.708145321713829,0,0
