Level,Category_Name,Product_Name,Forecast_Month,Forecast_Demand
Category,Mobile_Devices,ALL,2016-08-01,2974.0
Category,Mobile_Devices,ALL,2016-09-01,2356.0
Category,Mobile_Devices,ALL,2016-10-01,1384.0
Category,Mobile_Devices,ALL,2016-11-01,1341.0
Category,Mobile_Devices,ALL,2016-12-01,2491.0
Category,Personal_Care,ALL,2017-02-01,91318.0
Category,Personal_Care,ALL,2017-03-01,68668.0
Category,Personal_Care,ALL,2017-04-01,70221.0
Category,Personal_Care,ALL,2017-05-01,66082.0
Category,Personal_Care,ALL,2017-06-01,61047.0
Category,Personal_Care,ALL,2017-07-01,66103.0
Category,Personal_Care,ALL,2017-08-01,69626.0
Category,Personal_Care,ALL,2017-09-01,84309.0
Category,Personal_Care,ALL,2017-10-01,59733.0
Category,Personal_Care,ALL,2017-11-01,87245.0
Category,Personal_Care,ALL,2017-12-01,68175.0
Category,Personal_Care,ALL,2018-01-01,55878.0
Category,Pet_Supplies,ALL,2017-01-01,77.0
Category,Pet_Supplies,ALL,2017-02-01,481.0
Category,Pet_Supplies,ALL,2017-03-01,447.0
Category,Pet_Supplies,ALL,2017-04-01,575.0
Category,Pet_Supplies,ALL,2017-05-01,474.0
Category,Pet_Supplies,ALL,2017-06-01,677.0
Category,Pet_Supplies,ALL,2017-07-01,147.0
Category,Pet_Supplies,ALL,2017-08-01,317.0
Category,Pet_Supplies,ALL,2017-09-01,553.0
Category,Pet_Supplies,ALL,2017-10-01,634.0
Category,Pet_Supplies,ALL,2017-11-01,772.0
Category,Pet_Supplies,ALL,2017-12-01,187.0
Category,Snacks,ALL,2017-02-01,469131.0
Category,Snacks,ALL,2017-03-01,415840.0
Category,Snacks,ALL,2017-04-01,615466.0
Category,Snacks,ALL,2017-05-01,358190.0
Category,Snacks,ALL,2017-06-01,88895.0
Category,Snacks,ALL,2017-07-01,307165.0
Category,Snacks,ALL,2017-08-01,406803.0
Category,Snacks,ALL,2017-09-01,302452.0
Category,Snacks,ALL,2017-10-01,191502.0
Category,Snacks,ALL,2017-11-01,704588.0
Category,Snacks,ALL,2017-12-01,386352.0
Category,Snacks,ALL,2018-01-01,650307.0
Category,Sports,ALL,2017-02-01,0.0
Category,Sports,ALL,2017-03-01,10761378.0
Category,Sports,ALL,2017-04-01,0.0
Category,Sports,ALL,2017-05-01,0.0
Category,Sports,ALL,2017-06-01,0.0
Category,Sports,ALL,2017-07-01,5163639.0
Category,Sports,ALL,2017-08-01,0.0
Category,Sports,ALL,2017-09-01,0.0
Category,Sports,ALL,2017-10-01,601548.0
Category,Sports,ALL,2017-11-01,5863376.0
Category,Sports,ALL,2017-12-01,0.0
Category,Sports,ALL,2018-01-01,0.0
Category,Toys,ALL,2017-01-01,709.0
Category,Toys,ALL,2017-02-01,693.0
Category,Toys,ALL,2017-03-01,814.0
Category,Toys,ALL,2017-04-01,744.0
Category,Toys,ALL,2017-05-01,704.0
Category,Toys,ALL,2017-06-01,816.0
Category,Toys,ALL,2017-07-01,662.0
Category,Toys,ALL,2017-08-01,621.0
Category,Toys,ALL,2017-09-01,741.0
Category,Toys,ALL,2017-10-01,630.0
Category,Toys,ALL,2017-11-01,895.0
Category,Toys,ALL,2017-12-01,727.0
Category,Travel_Accessories,ALL,2017-01-01,7561.0
Category,Travel_Accessories,ALL,2017-02-01,49989.0
Category,Travel_Accessories,ALL,2017-03-01,86507.0
Category,Travel_Accessories,ALL,2017-04-01,16920.0
Category,Travel_Accessories,ALL,2017-05-01,61937.0
Category,Travel_Accessories,ALL,2017-06-01,38739.0
Category,Travel_Accessories,ALL,2017-07-01,7997.0
Category,Travel_Accessories,ALL,2017-08-01,85595.0
Category,Travel_Accessories,ALL,2017-09-01,12976.0
Category,Travel_Accessories,ALL,2017-10-01,16525.0
Category,Travel_Accessories,ALL,2017-11-01,0.0
Category,Travel_Accessories,ALL,2017-12-01,39065.0
